I,Q
0.631756,-0.836699
0.942846,0.475161
0.388552,0.894405
0.848839,-0.843278
-0.639214,-0.847571
-0.37675,0.98591
-0.966962,-0.536416
0.428116,1.05054
0.956582,0.570751
0.973029,-0.589137
-0.820228,-0.744697
0.499294,0.547334
0.587013,0.377549
-0.501363,-0.151347
-0.86889,-0.49574
-0.963913,-0.564675
-0.742097,-0.927587
0.66801,-0.676926
-0.490542,0.563584
-0.599428,-0.371168
-0.353315,-0.786117
-0.939805,-0.56415
0.447949,0.692906
0.911057,-0.858853
0.861313,-1.21644
-0.724758,-0.776398
0.860415,0.961858
-0.563429,0.669426
-0.873068,0.864655
-1.19826,0.564739
0.790321,-1.02259
-0.784952,0.867344
-1.1335,-0.651781
0.493337,-0.536162
0.784451,0.839873
-0.697274,1.18219
0.871232,0.122695
-0.828107,0.453455
-1.0556,0.368049
0.774147,-0.62532
0.433241,0.804677
-0.327518,-0.839471
-0.979216,0.726396
-0.951852,0.747454
-0.942247,-0.657291
0.858302,0.52612
0.505603,0.84103
-0.900769,1.1329
-0.794988,0.83434
0.92992,1.06339
0.561206,0.472166
0.619666,-0.578463
-0.369472,0.839704
-0.71072,0.596032
-0.69802,-0.384171
-0.775828,0.508135
-1.07433,1.00294
0.45047,0.810263
0.882847,0.624883
0.435639,0.445945
-0.858057,-0.692321
0.586822,0.951824
-0.657249,-1.02473
-0.751825,0.702952
0.529775,0.851683
0.379129,0.777399
0.868906,-0.680483
-0.98434,-0.492809
1.19803,0.630624
0.731995,0.996039
-0.551907,-0.446849
-0.840836,-0.787518
-1.01364,-0.805514
0.716022,-0.615633
0.47394,0.396612
0.613227,-0.683391
0.430176,0.535751
0.51489,0.86522
0.668001,0.772098
-0.481145,-0.831117
0.883608,-0.812218
-1.10089,-0.241089
-0.959669,0.615982
-0.511964,0.440592
-0.655033,-0.924239
-1.2339,-0.711114
-1.2011,-1.10712
-1.10108,0.725606
-0.530669,0.775358
0.736824,0.726346
-0.535212,0.813959
0.339588,0.562662
0.927306,0.738853
0.874837,-0.942775
0.410342,0.206597
-0.757701,-0.463172
-0.908722,-0.658859
-0.868777,-0.446898
-0.899373,1.04685
-0.87037,-0.749354
0.332546,0.863238
-0.271134,-0.85149
0.814119,-0.640668
-0.446838,-0.614133
0.525278,-0.71614
-0.282915,-0.943551
0.734911,0.659271
-1.1713,-0.678839
0.687496,-0.628214
0.327688,-0.859824
-0.434994,1.00337
-0.776139,0.589931
0.640728,0.758362
-0.33443,0.740683
-0.676206,-0.674161
0.401528,0.503378
0.72729,-1.11633
-1.27791,0.54908
0.718365,-0.946976
-1.05015,-0.554407
0.829898,-0.371578
-0.738172,0.446787
0.461531,0.764011
0.591581,0.842491
-0.665127,0.474497
0.571197,-0.682691
-0.610753,0.712805
-0.808055,-0.7784
0.700306,0.601487
-0.758009,0.646595
-0.88744,1.05043
-0.851166,-0.746644
-0.514569,0.926717
0.42128,0.836009
0.353355,-0.672562
0.938365,0.907535
-0.536349,-0.602577
-0.946959,-0.496249
0.698276,0.743184
-0.657514,0.913178
0.590062,-0.811033
0.700905,-0.657808
0.717163,0.81275
0.941307,-0.597475
-0.782487,-0.228374
0.835472,0.373509
-0.281144,0.676188
0.91698,0.546781
0.672464,-1.05495
-0.833916,-0.851499
-0.621912,-0.829801
-0.848939,0.525094
-0.707524,0.725752
0.820124,0.825688
0.782211,0.663345
0.807438,-0.535362
0.834643,-0.440275
0.733921,0.56957
-0.242611,-0.835163
-0.660558,0.776513
-0.772313,-1.12633
0.862932,-0.759214
1.19497,0.730284
-0.363294,1.22422
-0.679653,1.09353
0.94296,0.87164
0.66045,0.233386
0.552652,-0.33413
-0.343784,-0.803209
0.754203,-0.942444
0.993796,-1.01486
-0.904742,-0.940547
1.10186,0.849525
0.654837,0.520886
-0.813252,-1.03479
0.179045,0.69303
-0.746579,-0.875587
0.643466,0.621618
0.673336,-0.883124
-0.737886,0.624746
0.66543,-1.04561
0.952023,-0.672477
0.737185,-0.923976
-0.490811,-1.31574
0.803721,0.475477
1.03502,-1.00169
-0.899171,-0.354705
0.346934,1.12385
0.943164,1.11873
-0.927125,1.01953
-0.850955,0.73215
0.547323,0.517471
0.734774,0.896098
-0.535847,-0.964489
0.67362,-0.853195
-1.01227,0.78273
0.371921,-0.66007
-0.617542,0.379473
-0.575838,-1.288
-0.414286,-0.942193
-0.927668,0.875109
-1.02142,-0.672431
-0.645721,-0.688876
0.908544,-0.609085
-0.668842,-0.74098
-0.491399,0.804872
0.497201,-0.587467
0.927349,0.394638
0.358477,0.727413
0.793206,0.486222
0.507816,-0.768066
-0.864172,-0.742375
0.967092,-0.63678
0.973597,0.470632
0.725534,-1.05852
-0.931203,-1.08026
0.764889,0.893708
-0.98208,-0.953548
0.780744,-0.625913
-0.316234,-0.44612
-0.928349,1.04095
-0.676688,-0.454829
-0.691442,-0.495007
-1.07584,0.95573
0.772278,-0.765075
-0.640225,0.65007
0.815135,0.605535
0.624983,0.83475
-0.424268,0.61746
-0.806427,-0.188738
-0.277568,0.970047
-0.877172,0.613959
-1.12028,-0.610964
-0.646915,0.884886
-0.597189,-0.545255
-1.16736,0.350562
-0.268477,0.914728
-0.359593,-0.563517
-0.708808,-0.98291
0.676838,0.729477
0.81607,1.04435
0.624691,-0.975115
0.656564,-0.370364
-0.334698,0.881229
0.561048,-0.518532
-0.600399,0.308737
1.19369,-0.853605
0.454328,-0.301547
0.522484,0.543104
-0.669597,0.955092
-1.08573,-0.518034
0.714054,-0.382439
0.674549,0.702674
0.766687,-0.0883528
-0.581477,-0.866564
0.774816,-0.707537
-1.0648,0.522633
0.429968,0.531835
1.06161,-0.0153504
0.546426,-0.787017
-0.745629,0.714235
-0.802566,1.16289
0.669314,0.784351
0.899074,0.484811
-0.717823,0.333436
0.536957,0.718842
0.334645,-0.812875
0.749698,-0.341216
-0.767883,-0.632637
-0.731725,-0.682146
0.538679,-0.842384
-0.724299,0.705733
0.547413,0.928936
-0.430099,-0.648429
0.429424,-0.720683
-0.961187,0.634204
-0.71153,0.715347
0.963774,-0.572689
-0.718382,-0.908007
-0.868965,-0.610636
-1.05338,0.28376
0.285638,-0.356917
-0.850122,0.568009
0.91898,-0.682521
-0.494538,1.0466
-0.580762,-0.786919
-0.832881,0.522767
0.996779,0.569547
-0.83472,0.566507
0.858952,-0.979066
0.33041,0.75113
-1.0921,0.871867
-0.914671,-0.994887
0.543059,0.384473
0.578562,-0.65274
0.741301,-0.895051
0.956404,0.797324
-0.42108,0.696172
-0.836562,0.589249
0.542468,0.043618
-1.14795,0.624401
-0.656141,-0.837287
-0.879185,0.56392
